case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,model_name,model_type,train_rows,validation_rows,test_rows,train_failures,validation_failures,test_failures,train_time_start,train_time_end,validation_time_start,validation_time_end,test_time_start,test_time_end,temporal_overlap,sample_overlap_count,leakage_status,feasibility_status,primary_evidence,threshold,true_negative,false_positive,false_negative,true_positive,balanced_accuracy,mcc,f1,precision,recall,specificity,negative_predictive_value,accuracy,predicted_positive_rate,threshold_selection_policy,threshold_selected_using_test_labels,status
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_2,blocked_chronological_fold,primary_temporal,dummy_prior,dummy_prior,626,0,314,65,0,11,2008-07-19 11:55:00,2008-09-01 06:21:00,,,2008-09-01 06:52:00,2008-09-20 05:34:00,none,0,no_future_to_past,feasible,True,0.5,303,0,11,0,0.5,,,,0.0,1.0,0.964968152866242,0.964968152866242,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_2,blocked_chronological_fold,primary_temporal,logistic_regression_balanced,logistic_regression,626,0,314,65,0,11,2008-07-19 11:55:00,2008-09-01 06:21:00,,,2008-09-01 06:52:00,2008-09-20 05:34:00,none,0,no_future_to_past,feasible,True,0.5,198,105,6,5,0.554005400540054,0.04162683749957036,0.08264462809917356,0.045454545454545456,0.45454545454545453,0.6534653465346535,0.9705882352941176,0.6464968152866242,0.3503184713375796,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_2,blocked_chronological_fold,primary_temporal,random_forest_balanced,random_forest,626,0,314,65,0,11,2008-07-19 11:55:00,2008-09-01 06:21:00,,,2008-09-01 06:52:00,2008-09-20 05:34:00,none,0,no_future_to_past,feasible,True,0.5,303,0,11,0,0.5,,,,0.0,1.0,0.964968152866242,0.964968152866242,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_2,blocked_chronological_fold,primary_temporal,hist_gradient_boosting_balanced,hist_gradient_boosting,626,0,314,65,0,11,2008-07-19 11:55:00,2008-09-01 06:21:00,,,2008-09-01 06:52:00,2008-09-20 05:34:00,none,0,no_future_to_past,feasible,True,0.5,298,5,11,0,0.49174917491749176,-0.02423710759383534,,0.0,0.0,0.9834983498349835,0.9644012944983819,0.9490445859872612,0.01592356687898089,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_3,blocked_chronological_fold,primary_temporal,dummy_prior,dummy_prior,940,0,313,76,0,11,2008-07-19 11:55:00,2008-09-20 05:34:00,,,2008-09-20 06:08:00,2008-10-02 19:25:00,none,0,no_future_to_past,feasible,True,0.5,302,0,11,0,0.5,,,,0.0,1.0,0.9648562300319489,0.9648562300319489,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_3,blocked_chronological_fold,primary_temporal,logistic_regression_balanced,logistic_regression,940,0,313,76,0,11,2008-07-19 11:55:00,2008-09-20 05:34:00,,,2008-09-20 06:08:00,2008-10-02 19:25:00,none,0,no_future_to_past,feasible,True,0.5,262,40,11,0,0.4337748344370861,-0.07305358669414876,,0.0,0.0,0.8675496688741722,0.9597069597069597,0.8370607028753994,0.12779552715654952,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_3,blocked_chronological_fold,primary_temporal,random_forest_balanced,random_forest,940,0,313,76,0,11,2008-07-19 11:55:00,2008-09-20 05:34:00,,,2008-09-20 06:08:00,2008-10-02 19:25:00,none,0,no_future_to_past,feasible,True,0.5,302,0,11,0,0.5,,,,0.0,1.0,0.9648562300319489,0.9648562300319489,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_3,blocked_chronological_fold,primary_temporal,hist_gradient_boosting_balanced,hist_gradient_boosting,940,0,313,76,0,11,2008-07-19 11:55:00,2008-09-20 05:34:00,,,2008-09-20 06:08:00,2008-10-02 19:25:00,none,0,no_future_to_past,feasible,True,0.5,297,5,11,0,0.4917218543046358,-0.02431658119673581,,0.0,0.0,0.9834437086092715,0.9642857142857143,0.9488817891373802,0.01597444089456869,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_4,blocked_chronological_fold,primary_temporal,dummy_prior,dummy_prior,1253,0,314,87,0,17,2008-07-19 11:55:00,2008-10-02 19:25:00,,,2008-10-02 20:54:00,2008-10-17 06:07:00,none,0,no_future_to_past,feasible,True,0.5,297,0,17,0,0.5,,,,0.0,1.0,0.945859872611465,0.945859872611465,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_4,blocked_chronological_fold,primary_temporal,logistic_regression_balanced,logistic_regression,1253,0,314,87,0,17,2008-07-19 11:55:00,2008-10-02 19:25:00,,,2008-10-02 20:54:00,2008-10-17 06:07:00,none,0,no_future_to_past,feasible,True,0.5,281,16,14,3,0.5612992671816202,0.11635904688252087,0.16666666666666669,0.15789473684210525,0.17647058823529413,0.9461279461279462,0.9525423728813559,0.9044585987261147,0.06050955414012739,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_4,blocked_chronological_fold,primary_temporal,random_forest_balanced,random_forest,1253,0,314,87,0,17,2008-07-19 11:55:00,2008-10-02 19:25:00,,,2008-10-02 20:54:00,2008-10-17 06:07:00,none,0,no_future_to_past,feasible,True,0.5,297,0,17,0,0.5,,,,0.0,1.0,0.945859872611465,0.945859872611465,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_4,blocked_chronological_fold,primary_temporal,hist_gradient_boosting_balanced,hist_gradient_boosting,1253,0,314,87,0,17,2008-07-19 11:55:00,2008-10-02 19:25:00,,,2008-10-02 20:54:00,2008-10-17 06:07:00,none,0,no_future_to_past,feasible,True,0.5,290,7,16,1,0.5176272529213706,0.05063042934659186,0.07999999999999999,0.125,0.058823529411764705,0.9764309764309764,0.9477124183006536,0.9267515923566879,0.025477707006369428,fixed_default_0_5,False,valid
