schema_version,comparison_id,baseline_feature_set,candidate_feature_set,split_strategy,model_variant,valid_fold_count,mae_improvement_mean,mae_improvement_median,mae_improvement_std,mae_improvement_min,mae_improvement_max,rmse_improvement_mean,rmse_improvement_median,r2_delta_mean,r2_delta_median,improved_fold_fraction_mae,improved_fold_fraction_rmse,improvement_sign_convention,status
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,ridge_log1p,10,-15.381429100429477,-0.002364309773693153,32.42054557475949,-99.79414669018806,0.008950487122356604,-175.4145832323252,0.006375334502810984,-1628064.7471906105,0.023321403144933694,0.4,0.8,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,ridge_raw,10,-0.024091041926196134,-0.007405905974372781,0.04375611489759415,-0.12269103286101452,0.012483760779785691,-0.20299860623629837,2.9258546840785216e-05,-3.571379909168306,0.0001464717970438012,0.3,0.6,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,chemical_system_group,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,chemical_system_group,histogram_gradient_boosting_log1p,10,-0.0011220635962912236,0.0013258788588522835,0.009983323312311923,-0.016734629024871342,0.016711563336964906,0.0045567675637106,0.006137871154009961,0.045772354763367364,0.037915108033793055,0.6,0.6,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,chemical_system_group,histogram_gradient_boosting_raw,10,-0.0030831318944048573,-0.004997160122814905,0.01353739902127426,-0.021282093414707215,0.02082800033711922,-0.0039060131810913904,-0.003751181907002722,-0.06401170637105644,-0.040769708620435274,0.4,0.3,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,chemical_system_group,ridge_log1p,10,-19.27755062932239,0.0028629139038285276,57.83905616124939,-192.79471766223386,0.010133613735801503,-219.8035218804846,0.0035545216164707544,-5980322.960345106,0.022540718165095064,0.6,0.7,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,chemical_system_group,ridge_raw,10,-0.01605621943459675,-0.0012695922616442826,0.044810429528744464,-0.14852807268776294,0.008472783049110047,-0.13504943404321249,-0.004770392353010057,-3.1580924013393643,-0.07170056954663451,0.5,0.2,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,random,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,random,histogram_gradient_boosting_log1p,10,-0.0032326316276587662,-0.0034620142687620536,0.008087675612519477,-0.0157655535235193,0.010026396692389472,-0.005668592415380938,-0.009562566304699649,-0.24454265312603257,-0.03219285968831026,0.3,0.3,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,random,histogram_gradient_boosting_raw,10,-0.010614038666128218,-0.0097568418940511,0.012019673155441933,-0.03292286031239007,0.004318828001262598,-0.006325560169597963,-0.018683991789147703,-0.04795009650314759,-0.07930676596204528,0.3,0.3,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,random,ridge_log1p,10,-8.889782530881522,0.0004295935043089963,24.60328465946418,-82.47532371153189,0.005129146718850244,-115.20307801651572,0.003042602907796371,-1770175.4697226412,0.02668934555823743,0.5,0.6,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,random,ridge_raw,10,-0.01548206159668955,-0.009440524352295698,0.021825494929538548,-0.06322134423054931,0.004457833794402094,-0.13052173417354998,-0.011202308028171695,-2.652697792958191,-0.18729837252963222,0.3,0.4,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,reduced_formula_group,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,reduced_formula_group,histogram_gradient_boosting_log1p,10,-0.01023579732109627,-0.006740977185901241,0.01260895642942997,-0.03452255075439285,0.004074590637878767,-0.0033077403585305256,0.001717229809826748,-0.05447026132986147,0.011417313726724443,0.3,0.6,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,reduced_formula_group,histogram_gradient_boosting_raw,10,-0.01834722724234045,-0.017093258083573967,0.022224778382719988,-0.0611838655473073,0.011316052619230327,-0.02019034729244768,-0.0074939037989140145,-0.24305058596182283,-0.028018999103854747,0.3,0.4,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,reduced_formula_group,ridge_log1p,10,-13.4380887679646,-0.002314229149096819,29.026832719959607,-91.70763769772579,0.009235587119332367,-153.13514320607925,0.006415608020993821,-1266185.1946943707,0.024617892750278925,0.4,0.8,positive_means_candidate_better,valid
2.2.5,B_vs_E,known_structure_composition_physics_v1,known_structure_full_combined_v1,reduced_formula_group,ridge_raw,10,-0.02255771649374052,-0.006671402224134496,0.04268654074963933,-0.12040335494530603,0.013618835230054638,-0.19344642692834713,0.0008906530248565386,-3.3175244602011063,0.008570359666974392,0.3,0.5,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,chemical_system_group,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,chemical_system_group,histogram_gradient_boosting_log1p,10,0.005806655751301895,0.004550866783598735,0.00986359523604925,-0.008058691825451852,0.0318487159539963,0.003667425311764247,0.004706091646620343,0.04068740301710201,0.02378173253828131,0.8,0.9,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,chemical_system_group,histogram_gradient_boosting_raw,10,0.007756632476684062,0.005549437873500859,0.013501709187085502,-0.006598121654668998,0.044303159314477286,0.008433814192547438,0.004617494031240024,0.1529516817837552,0.059226563863016723,0.7,0.7,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,chemical_system_group,ridge_log1p,10,-16.83025926242879,0.002173888683807773,50.4998931095493,-168.32993822132738,0.00862368099731664,-191.92391476092445,0.00044964872837537084,-5964033.329220878,0.006794869770255674,0.8,0.5,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,chemical_system_group,ridge_raw,10,0.00024720853166865784,0.0038719162483503433,0.01588959439974329,-0.04344807478500484,0.013624077321660766,-0.04228558015189639,0.003671447626684962,-1.4965710914358306,0.06770200894566514,0.8,0.6,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,random,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,random,histogram_gradient_boosting_log1p,10,0.005940906430653986,0.006719599372402248,0.005097325295806258,-0.003932248318583811,0.013432766424262776,-0.0003444734406837027,0.004276307402913265,-0.19487835854968732,0.022678149132156433,0.9,0.6,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,random,histogram_gradient_boosting_raw,10,0.0056071363084436625,0.005077933796494724,0.00663248726416107,-0.00552595330157285,0.01623148918448636,0.0006414717148069792,0.006004993961515603,-0.22449354719441975,0.020819097508721796,0.8,0.6,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,random,ridge_log1p,10,-8.246817149403906,-0.0019129963347559314,22.76034052422398,-76.30594818046944,0.005838587326246286,-106.8742144996036,0.0013123340495606872,-2285365.2392439577,0.01209953956312082,0.3,0.6,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,random,ridge_raw,10,-0.015048363091903123,-0.012537533238686338,0.012180962641373241,-0.03498055613533002,-0.0006370281891016627,-0.061297764405089696,-0.012960281342976707,-1.487987032693897,-0.17888707848670693,0.0,0.4,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,histogram_gradient_boosting_log1p,10,0.005881301401778329,0.0031325692164800994,0.004865322370990667,0.0005078256175265611,0.01432270052159941,-0.0011359574767126318,-0.0013733228313423385,0.006962460681872185,-0.002787799412485137,1.0,0.5,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,histogram_gradient_boosting_raw,10,0.006450410559089202,0.0077137604338119725,0.007899127477166496,-0.009160484250292339,0.017477563183844566,-0.0008002548029803214,-0.0022144315321988295,0.01884088967325035,-0.013696412652968726,0.8,0.3,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,ridge_log1p,10,-12.649118417191897,-0.0032208123440916753,26.76269935866504,-82.79046046900565,0.004646662998337159,-144.23932101918274,0.001420720064055303,-1576957.1571793547,0.0044251971994553885,0.3,0.6,positive_means_candidate_better,valid
2.2.5,C_vs_D,known_structure_structure_only_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,ridge_raw,10,-0.01564948157283364,-0.008192816333224114,0.017431725788920122,-0.053006003268648794,0.0021264947124362416,-0.07639326839025581,-0.0014803546685014518,-1.838554777168008,-0.007280811739715121,0.1,0.5,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,chemical_system_group,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,chemical_system_group,histogram_gradient_boosting_log1p,10,0.0008860736654038852,0.0007357561003079292,0.0015968189747381661,-0.00110632648321074,0.0033975270770207067,0.0016447618895604158,0.0007321143884198023,0.02698126116952554,0.006242489777375737,0.6,0.6,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,chemical_system_group,histogram_gradient_boosting_raw,10,-0.0008422256488477331,-0.0013180798550277775,0.0033535118004668334,-0.005004554348694595,0.005294740624724251,6.427851180064448e-06,-9.894974532377587e-05,3.653101886780252e-06,0.00207804393433908,0.4,0.5,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,chemical_system_group,ridge_log1p,10,0.14797201953241765,0.000138442692722493,0.4435408201372028,-0.0006289233880350242,1.4785938307254014,1.6863621758452059,0.00020799493280112408,92104.03821140884,0.0031118348623552783,0.6,0.6,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,chemical_system_group,ridge_raw,10,-0.0003624159448142622,-0.00067570479574975,0.0010147254489783115,-0.0018943688662354935,0.0009717921435685867,1.086987149098162e-05,-0.0003177453023891774,0.009468626080524045,-0.002828144803064314,0.4,0.4,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,random,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,random,histogram_gradient_boosting_log1p,10,0.00016373260541064638,0.0007293187553273281,0.001462695790759908,-0.00236542551601579,0.0019702968716974884,-0.00027792304341920927,-0.0011876798173156289,-0.03786313946189933,-0.0068589572986722525,0.6,0.4,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,random,histogram_gradient_boosting_raw,10,-0.0002849934500805312,-0.0010740060846879881,0.0023515124213959846,-0.0037092766587311365,0.004577117998671262,-0.00015730565233789683,0.0006035571623390634,0.017026442664406817,0.0008587927471324086,0.4,0.5,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,random,ridge_log1p,10,1.4049535629152943,0.0001331718301115642,3.950971174957665,-0.0010826373631299124,13.23544649033326,18.211584347087477,0.00013852995638691246,613366.1124531722,0.0005062738951879253,0.6,0.7,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,random,ridge_raw,10,-0.00019588235872695508,-0.0001760098325356424,0.001085893415434799,-0.0016804390096609723,0.0019696728375948325,0.00442979243372317,6.67805276719502e-05,0.11212431661886835,0.00031360713093958603,0.3,0.6,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,reduced_formula_group,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,reduced_formula_group,histogram_gradient_boosting_log1p,10,-0.0007609058510655006,-0.00032482629531761786,0.0018587967152576853,-0.005326862705496677,0.0015104858462899606,0.0010390980029680113,0.0005889356111733884,0.0017050419622677503,0.0034261834873737795,0.3,0.6,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,reduced_formula_group,histogram_gradient_boosting_raw,10,-0.0002998690943393362,-0.0005878820723359129,0.002866954691829584,-0.0048721701862503575,0.004210639132805893,0.0016593990753284633,0.002298895481387203,0.009075015229189565,0.016658933603597936,0.3,0.6,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,reduced_formula_group,ridge_log1p,10,1.9428695784623677,0.00011830152060469945,3.9534393331535544,-0.0007141982979929629,11.342429403003997,22.278874703317392,1.9809238514051364e-05,361879.5478620899,4.5478819653499425e-05,0.6,0.5,positive_means_candidate_better,valid
2.2.5,D_vs_E,known_structure_baseline_plus_structure_v1,known_structure_full_combined_v1,reduced_formula_group,ridge_raw,10,0.0005078124631091322,0.00015528619856589043,0.0015268163106505316,-0.001155416568373424,0.0043439288940246845,0.008402724458924487,9.485845590878617e-05,0.24221562566896745,0.0002649833966692494,0.6,0.7,positive_means_candidate_better,valid
