case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,claim_scope,feature_set,weighting_policy,model_name,model_type,train_rows,validation_rows,test_rows,train_assets,validation_assets,test_assets,train_positives,validation_positives,test_positives,train_positive_assets,test_positive_assets,train_date_start,train_date_end,test_date_start,test_date_end,asset_overlap_count,temporal_overlap,sample_overlap_count,leakage_status,feasibility_status,primary_evidence,training_subsample_status,fit_train_rows,fit_train_assets,fit_train_positives,test_set_subsampled,threshold,true_negative,false_positive,false_negative,true_positive,balanced_accuracy,mcc,f1,precision,recall,specificity,negative_predictive_value,accuracy,predicted_positive_rate,threshold_selection_policy,threshold_selected_using_test_labels,status
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_only_conservative,raw_row,dummy_prior,dummy_prior,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,not_subsampled,4252306,28055,4057,False,0.5,639436,0,740,0,0.5,,,,0.0,1.0,0.9988440678813326,0.9988440678813326,0.0,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_only_conservative,raw_row,logistic_regression,logistic_regression,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,250000,27377,4057,False,0.5,472275,167161,191,549,0.7402362267559097,0.037129417445662866,0.006518254674977738,0.0032735078409158666,0.7418918918918919,0.7385805616199276,0.9995957381060224,0.7385843892929445,0.2619748319212217,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_only_conservative,raw_row,random_forest,random_forest,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,120000,26221,4057,False,0.5,598019,41417,141,599,0.8723441586952556,0.10218164880337653,0.028019459257180277,0.014256473724295506,0.8094594594594594,0.9352288579310517,0.9997642771164905,0.935083477043813,0.0656319512134163,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_only_conservative,raw_row,hist_gradient_boosting,hist_gradient_boosting,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,200000,27131,4057,False,0.5,569838,69598,93,647,0.8827407658066238,0.0832204903147297,0.01822920335282102,0.009210619972951811,0.8743243243243243,0.8911572072889233,0.9998368223521795,0.8911377496188548,0.10972763739971508,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_plus_safe_operational_metadata,asset_balanced,dummy_prior,dummy_prior,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,not_subsampled,4252306,28055,4057,False,0.5,0,639436,0,740,0.5,,0.0023091949647067633,0.0011559321186673664,1.0,0.0,,0.0011559321186673664,1.0,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_plus_safe_operational_metadata,asset_balanced,logistic_regression,logistic_regression,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,250000,27377,4057,False,0.5,610205,29231,309,431,0.7683593548571436,0.08675871426779745,0.028353397802776133,0.01453037556469557,0.5824324324324325,0.9542862772818547,0.9994938691004629,0.9538564394791432,0.046334133113393815,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_plus_safe_operational_metadata,asset_balanced,random_forest,random_forest,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,120000,26221,4057,False,0.5,618648,20788,153,587,0.8803666719472211,0.1438859169179624,0.05308614062853267,0.027461988304093566,0.7932432432432432,0.9674901006511989,0.9997527476523147,0.9672886831121441,0.033389255454749946,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_plus_safe_operational_metadata,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,200000,27131,4057,False,0.5,602686,36750,130,610,0.8834259008318648,0.11115526144957177,0.032020997375328084,0.016327623126338328,0.8243243243243243,0.9425274773394053,0.9997843454719184,0.9423908425183075,0.05835895128839569,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_plus_safe_operational_metadata,raw_row,dummy_prior,dummy_prior,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,not_subsampled,4252306,28055,4057,False,0.5,639436,0,740,0,0.5,,,,0.0,1.0,0.9988440678813326,0.9988440678813326,0.0,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_plus_safe_operational_metadata,raw_row,logistic_regression,logistic_regression,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,250000,27377,4057,False,0.5,524644,114792,193,547,0.779834243285003,0.04948173761972763,0.009424615994279758,0.004742541551426664,0.7391891891891892,0.8204792973808168,0.9996322667799716,0.8203853315338282,0.18016764139861538,fixed_default_0_5,False,valid
