date,files_for_date,rows,active_assets,failure_rows,newly_appearing_assets,disappearing_assets,coverage_status
2013-06-08,1,22545,22545,0,5,0,present
2013-06-09,1,22545,22545,0,0,0,present
2013-06-10,1,22545,22545,0,0,0,present
2013-06-11,1,22545,22545,6,0,7,present
2013-06-12,1,22545,22545,1,7,1,present
2013-06-13,1,22545,22545,3,1,3,present
2013-06-14,1,22545,22545,1,3,1,present
2013-06-15,1,22590,22590,0,1,0,present
2013-06-16,1,22590,22590,0,0,0,present
2013-06-17,1,22590,22590,0,0,0,present
2013-06-18,1,22635,22635,13,0,13,present
2013-06-19,1,22635,22635,4,13,4,present
2013-06-20,1,22635,22635,1,4,91,present
2013-06-21,1,22544,22544,5,0,5,present
2013-06-22,1,22545,22545,0,6,0,present
2013-06-23,1,22545,22545,0,0,0,present
2013-06-24,1,22545,22545,0,0,0,present
2013-06-25,1,22545,22545,2,0,2,present
2013-06-26,1,22500,22500,8,2,8,present
2013-06-27,1,22860,22860,7,368,7,present
2013-06-28,1,23355,23355,0,412,0,present
2013-06-29,1,23355,23355,0,0,0,present
2013-06-30,1,23310,23310,0,0,0,present
2013-07-01,1,23310,23310,0,0,0,present
2013-07-02,1,23310,23310,12,0,12,present
2013-07-03,1,23220,23220,2,12,14,present
2013-07-04,1,23265,23265,1,2,1,present
2013-07-05,1,23220,23220,0,0,0,present
2013-07-06,1,23130,23130,0,0,0,present
2013-07-07,1,23130,23130,0,0,0,present
2013-07-08,1,23130,23130,5,0,5,present
2013-07-09,1,23220,23220,0,5,0,present
2013-07-10,1,23220,23220,18,0,18,present
2013-07-11,1,23265,23265,10,19,10,present
2013-07-12,1,23220,23220,1,6,1,present
2013-07-13,1,23175,23175,0,1,0,present
2013-07-14,1,23175,23175,0,0,0,present
2013-07-15,1,23175,23175,3,0,3,present
2013-07-16,1,23175,23175,7,3,7,present
2013-07-17,1,23175,23175,3,7,3,present
2013-07-18,1,23175,23175,11,3,56,present
2013-07-19,1,23085,23085,0,11,0,present
2013-07-20,1,23130,23130,0,0,45,present
2013-07-21,1,23085,23085,0,0,0,present
2013-07-22,1,23084,23084,0,0,0,present
2013-07-23,1,23670,23670,0,675,0,present
2013-07-24,1,23714,23714,22,0,112,present
2013-07-25,1,23714,23714,2,112,2,present
2013-07-26,1,23714,23714,4,2,4,present
2013-07-27,1,23714,23714,0,4,0,present
2013-07-28,1,23714,23714,0,0,0,present
2013-07-29,1,23714,23714,3,0,3,present
2013-07-30,1,23714,23714,0,3,45,present
2013-07-31,1,23669,23669,0,0,0,present
2013-08-01,1,23670,23670,4,0,4,present
2013-08-02,1,23670,23670,0,4,0,present
2013-08-03,1,23670,23670,0,0,0,present
2013-08-04,1,23670,23670,0,0,0,present
2013-08-05,1,23670,23670,0,0,6,present
2013-08-06,1,23670,23670,16,0,16,present
2013-08-07,1,23805,23805,9,185,9,present
2013-08-08,1,23805,23805,0,6,0,present
2013-08-09,1,23805,23805,1,0,1,present
2013-08-10,1,23805,23805,0,0,0,present
2013-08-11,1,23805,23805,0,0,0,present
2013-08-12,1,23805,23805,0,0,20,present
2013-08-13,1,23805,23805,10,0,10,present
2013-08-14,1,23805,23805,1,5,1,present
2013-08-15,1,23804,23804,6,0,6,present
2013-08-16,1,23804,23804,0,1,0,present
2013-08-17,1,23805,23805,0,1,0,present
2013-08-18,1,23805,23805,0,0,0,present
2013-08-19,1,23805,23805,0,0,298,present
2013-08-20,1,315,315,0,0,0,present
2013-08-21,1,315,315,0,0,0,present
2013-08-22,1,855,855,0,140,0,present
2013-08-23,1,855,855,0,0,0,present
2013-08-24,1,855,855,0,0,0,present
2013-08-25,1,855,855,0,0,0,present
2013-08-26,1,855,855,0,0,0,present
2013-08-27,1,855,855,0,0,0,present
2013-08-28,1,855,855,1,0,1,present
2013-08-29,1,855,855,1,1,1,present
2013-08-30,1,855,855,0,1,0,present
2013-08-31,1,855,855,0,0,0,present
2013-09-01,1,855,855,0,0,0,present
2013-09-02,1,855,855,0,0,0,present
2013-09-03,1,855,855,0,0,0,present
2013-09-04,1,855,855,2,0,2,present
2013-09-05,1,720,720,0,2,1,present
2013-09-06,1,720,720,0,45,0,present
2013-09-07,1,720,720,0,0,0,present
2013-09-08,1,720,720,0,0,0,present
2013-09-09,1,720,720,0,0,0,present
2013-09-10,1,720,720,0,0,0,present
2013-09-11,1,720,720,0,0,0,present
2013-09-12,1,720,720,0,0,0,present
2013-09-13,1,720,720,0,0,0,present
2013-09-14,1,900,900,0,1,0,present
2013-09-15,1,900,900,0,0,0,present
2013-09-16,1,900,900,0,0,0,present
2013-09-17,1,900,900,0,0,0,present
2013-09-18,1,900,900,0,0,0,present
2013-09-19,1,900,900,0,0,0,present
2013-09-20,1,900,900,0,0,0,present
2013-09-21,1,900,900,0,0,0,present
2013-09-22,1,900,900,0,0,0,present
2013-09-23,1,900,900,0,0,0,present
2013-09-24,1,900,900,0,0,0,present
2013-09-25,1,900,900,1,0,1,present
2013-09-26,1,900,900,0,1,0,present
2013-09-27,1,900,900,0,0,0,present
2013-09-28,1,900,900,0,0,0,present
2013-09-29,1,900,900,0,0,0,present
2013-09-30,1,900,900,1,0,1,present
2013-10-01,1,900,900,0,1,0,present
2013-10-02,1,900,900,2,0,2,present
2013-10-03,1,900,900,0,2,0,present
2013-10-04,1,900,900,0,0,0,present
2013-10-05,1,900,900,0,0,0,present
2013-10-06,1,900,900,0,0,0,present
2013-10-07,1,900,900,0,0,0,present
2013-10-08,1,900,900,0,0,0,present
2013-10-09,1,900,900,0,0,0,present
2013-10-10,1,900,900,1,0,1,present
2013-10-11,1,900,900,0,1,0,present
2013-10-12,1,900,900,0,0,0,present
2013-10-13,1,900,900,0,0,0,present
2013-10-14,1,900,900,0,0,0,present
2013-10-15,1,25019,25019,14,1183,14,present
2013-10-16,1,24974,24974,1,7,1,present
2013-10-17,1,24974,24974,13,1,13,present
2013-10-18,1,24975,24975,3,9,3,present
2013-10-19,1,24975,24975,0,0,0,present
2013-10-20,1,25065,25065,0,90,0,present
2013-10-21,1,25065,25065,0,0,34,present
2013-10-22,1,25155,25155,11,90,11,present
2013-10-23,1,25245,25245,0,96,0,present
2013-10-24,1,25245,25245,2,0,2,present
2013-10-25,1,25245,25245,0,2,0,present
2013-10-26,1,25515,25515,0,270,0,present
2013-10-27,1,25470,25470,0,0,0,present
2013-10-28,1,25560,25560,0,45,0,present
2013-10-29,1,25560,25560,17,0,17,present
2013-10-30,1,25560,25560,3,13,3,present
2013-10-31,1,25605,25605,2,48,2,present
2013-11-01,1,25605,25605,0,1,0,present
2013-11-02,1,25650,25650,0,0,0,present
2013-11-03,1,25650,25650,0,0,0,present
2013-11-04,1,25649,25649,5,0,5,present
2013-11-05,1,25649,25649,6,5,6,present
2013-11-06,1,25875,25875,6,231,6,present
2013-11-07,1,25920,25920,8,47,8,present
2013-11-08,1,25920,25920,6,7,6,present
2013-11-09,1,26280,26280,0,362,0,present
2013-11-10,1,26280,26280,0,0,0,present
