model_name,feature_set,weighting_policy,metric,random_reference,primary_median,random_minus_primary_gap,interpretation
logistic_regression,smart_plus_safe_operational_metadata,raw_row,recall,0.7372262773722628,0.7391891891891892,-0.001962911816926427,no_large_random_primary_gap
random_forest,smart_only_conservative,asset_balanced,average_precision,0.1372435833310838,0.0760378860358868,0.061205697295196995,random_reference_substantially_higher_possible_same_asset_or_temporal_dependence
random_forest,smart_only_conservative,asset_balanced,roc_auc,0.9499566920766542,0.9385220546129927,0.011434637463661579,random_reference_higher_possible_optimism
random_forest,smart_only_conservative,asset_balanced,mcc,0.13979384845512619,0.14059749302493105,-0.0008036445698048622,no_large_random_primary_gap
random_forest,smart_only_conservative,asset_balanced,recall,0.7591240875912408,0.7743243243243243,-0.015200236733083461,no_large_random_primary_gap
random_forest,smart_only_conservative,raw_row,average_precision,0.14421929110191245,0.07308187402212753,0.07113741707978492,random_reference_substantially_higher_possible_same_asset_or_temporal_dependence
random_forest,smart_only_conservative,raw_row,roc_auc,0.9546192472075221,0.9408917167798041,0.013727530427718015,random_reference_higher_possible_optimism
random_forest,smart_only_conservative,raw_row,mcc,0.11120685759935466,0.10218164880337653,0.009025208795978124,no_large_random_primary_gap
random_forest,smart_only_conservative,raw_row,recall,0.7841501564129302,0.8094594594594594,-0.02530930304652923,no_large_random_primary_gap
random_forest,smart_plus_safe_operational_metadata,asset_balanced,average_precision,0.15135353515133676,0.08536936713688811,0.06598416801444865,random_reference_substantially_higher_possible_same_asset_or_temporal_dependence
random_forest,smart_plus_safe_operational_metadata,asset_balanced,roc_auc,0.9526212557050844,0.944326801591876,0.008294454113208394,no_large_random_primary_gap
random_forest,smart_plus_safe_operational_metadata,asset_balanced,mcc,0.12962379912302316,0.1438859169179624,-0.014262117794939244,no_large_random_primary_gap
random_forest,smart_plus_safe_operational_metadata,asset_balanced,recall,0.7559958289885297,0.7932432432432432,-0.03724741425471356,no_large_random_primary_gap
random_forest,smart_plus_safe_operational_metadata,raw_row,average_precision,0.13792016446864896,0.09981567616991582,0.03810448829873314,random_reference_higher_possible_optimism
random_forest,smart_plus_safe_operational_metadata,raw_row,roc_auc,0.953881055411598,0.9401365982065613,0.013744457205036698,random_reference_higher_possible_optimism
random_forest,smart_plus_safe_operational_metadata,raw_row,mcc,0.11483171708913628,0.10835925462298689,0.006472462466149395,no_large_random_primary_gap
random_forest,smart_plus_safe_operational_metadata,raw_row,recall,0.7768508863399375,0.8175675675675675,-0.04071668122763006,no_large_random_primary_gap
