zip_file,internal_csv_path,file_name,schema_fingerprint,raw_column_name,normalized_column_name,column_position,sample_inferred_dtype,sample_non_null_count,sample_null_count,sample_values,unit_candidate,mapping_candidate,mapping_confidence,mapping_note
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,schema_d2669a99bc63,Max_Current (A),max_current_a,6,float64,50,0,"[""1.124"", ""1.141"", ""1.145"", ""1.13"", ""1.148""]",A,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,schema_d2669a99bc63,Min_Voltage (V),min_voltage_v,7,float64,50,0,"[""2.699"", ""3.165""]",V,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,schema_d2669a99bc63,Max_Voltage (V),max_voltage_v,8,float64,50,0,"[""4.2""]",V,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,schema_d2669a99bc63,Charge_Capacity (Ah),charge_capacity_ah,9,float64,50,0,"[""0.604"", ""1.291"", ""1.296"", ""1.293"", ""1.289""]",Ah,charge_capacity,high,explicit charge capacity column
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,schema_d2669a99bc63,Discharge_Capacity (Ah),discharge_capacity_ah,10,float64,50,0,"[""1.292"", ""1.295"", ""1.29"", ""1.291"", ""1.289""]",Ah,discharge_capacity,high,explicit discharge capacity column
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,schema_d2669a99bc63,Charge_Energy (Wh),charge_energy_wh,11,float64,50,0,"[""2.5"", ""5.184"", ""5.198"", ""5.189"", ""5.175""]",Wh,charge_energy,high,explicit charge energy column
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,schema_d2669a99bc63,Discharge_Energy (Wh),discharge_energy_wh,12,float64,50,0,"[""4.758"", ""4.781"", ""4.785"", ""4.757"", ""4.764""]",Wh,discharge_energy,high,explicit discharge energy column
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Cycle_Index,cycle_index,1,float64,50,0,"[""1.0"", ""2.0"", ""3.0"", ""4.0"", ""5.0""]",unknown,cycle_index,high,explicit cycle index/name
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Start_Time,start_time,2,float64,0,50,[],unknown,date_or_timestamp,high,explicit date/time column
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,End_Time,end_time,3,float64,0,50,[],unknown,date_or_timestamp,high,explicit date/time column
