zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32
Michigan Formation.zip,Michigan Formation/MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g_cycle_data.csv,MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g_cycle_data.csv,cycle_data,32089,10024,41ecf9a0
Michigan Formation.zip,Michigan Formation/MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h_cycle_data.csv,MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h_cycle_data.csv,cycle_data,32933,10198,325ee31a
Michigan Formation.zip,Michigan Formation/MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i_cycle_data.csv,MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i_cycle_data.csv,cycle_data,40530,12646,801c8443
Michigan Formation.zip,Michigan Formation/MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,cycle_data,32064,9867,95fda965
Michigan Formation.zip,Michigan Formation/MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,cycle_data,33059,10424,88106a72
Michigan Formation.zip,Michigan Formation/MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,cycle_data,36479,11194,776f804d
Michigan Formation.zip,Michigan Formation/MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,cycle_data,32016,9957,a4ac3662
Michigan Formation.zip,Michigan Formation/MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,cycle_data,39782,12281,2a3a648e
Michigan Formation.zip,Michigan Formation/MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,cycle_data,39715,12323,1b39a97a
Michigan Formation.zip,Michigan Formation/MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,cycle_data,36487,11355,1e280ee7
Michigan Formation.zip,Michigan Formation/MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,cycle_data,39845,12311,b57ace95
Michigan Formation.zip,Michigan Formation/MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,cycle_data,37386,11654,d8b77be3
Michigan Formation.zip,Michigan Formation/MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,cycle_data,36469,11236,be0df685
Michigan Formation.zip,Michigan Formation/MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,cycle_data,34220,10665,ddb9e687
Michigan Formation.zip,Michigan Formation/MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b_cycle_data.csv,MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b_cycle_data.csv,cycle_data,33033,10444,251b2f75
