case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,claim_scope,feature_set,weighting_policy,model_name,model_type,stratum_type,stratum_value,row_count,positive_rows,false_negative_count,false_positive_count,score_median,support_status
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,random_forest,random_forest,capacity_quartile,0,342363,432,106,10285,0.05743124382939662,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,random_forest,random_forest,capacity_quartile,1,451520,412,136,13543,0.0917613850027774,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,random_forest,random_forest,capacity_quartile,2,180975,119,63,1442,0.11669217886842571,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,all,all,974858,963,216,62005,0.2174610504379721,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,Hitachi HDS722020ALA330,189158,21,0,4991,0.12048079317519791,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,ST3000DM001,185660,335,82,21097,0.30442896497336674,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,Hitachi HDS5C3030ALA630,181020,14,6,2860,0.12415442399603634,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,Hitachi HDS5C4040ALE630,94763,49,10,683,0.17239103924660035,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,ST31500541AS,82264,182,31,7229,0.309785284710278,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,ST4000DM000,77522,70,33,2755,0.2991291701695247,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,Hitachi HDS723030ALA640,42186,14,7,1754,0.11313635623802917,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,ST31500341AS,25598,119,18,6924,0.35615007953984884,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,WDC WD30EZRX,21557,14,0,7257,0.15547323747373287,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,model,WDC WD10EADS,21157,21,8,815,0.14345648953176562,sufficient
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,drive_age_quartile,0,244484,264,83,13908,0.26557854258756075,sufficient
