schema_version,feature_set_id,feature_set_label,feature_id,feature_role,prediction_context,target_source,availability_timing,leakage_status,preprocessing_policy
2.2.5,known_structure_composition_physics_v1,B,pairwise_mismatch_atomic_radius,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,first_ionization_energy_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,first_ionization_energy_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,first_ionization_energy_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,first_ionization_energy_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,first_ionization_energy_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,pairwise_mismatch_first_ionization_energy,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,s_block_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,p_block_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,d_block_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,f_block_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
