zip_file,internal_csv_path,file_name,schema_fingerprint,raw_row_count,normalized_row_count,dropped_blank_row_count,invalid_cycle_index_count,invalid_charge_capacity_count,invalid_discharge_capacity_count,invalid_charge_energy_count,invalid_discharge_energy_count,metadata_join_status,load_status,load_message
Michigan Expansion.zip,Michigan Expansion/MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_cycle_data.csv,MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_cycle_data.csv,schema_63d0cb98b657,182,182,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_cycle_data.csv,MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_cycle_data.csv,schema_63d0cb98b657,532,532,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_cycle_data.csv,MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_cycle_data.csv,schema_63d0cb98b657,452,452,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_cycle_data.csv,MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_cycle_data.csv,schema_63d0cb98b657,171,171,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_cycle_data.csv,MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_cycle_data.csv,schema_63d0cb98b657,532,532,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_cycle_data.csv,MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_cycle_data.csv,schema_63d0cb98b657,557,557,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_cycle_data.csv,MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_cycle_data.csv,schema_63d0cb98b657,295,295,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,schema_63d0cb98b657,518,518,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,schema_63d0cb98b657,450,450,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,schema_63d0cb98b657,458,458,0,0,0,0,0,0,matched,success,
