summary_type,model_name,split_id,stratum,row_count,failure_count,failure_rate,false_negative_count,false_positive_count,precision,recall,average_precision,mcc,score_min,score_median,score_max,row_missing_rate_median,retained_feature_count_median,timestamp_start,timestamp_end,status,predicted_positive_rate
threshold_sensitivity,dummy_prior,blocked_chronological_fold_4,threshold=0.5,314,17,,17,0,,0.0,,,,0.06943335993615324,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_4,threshold=0.8,314,17,,17,0,,0.0,,,,0.06943335993615324,,,,,,descriptive,0.0
all,dummy_prior,expanding_train_future_test_60_20,all,313,11,0.03514376996805112,11,0,,0.0,0.03514376996805112,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.02711864406779661,468.0,2008-09-20 06:08:00,2008-10-02 19:25:00,descriptive,
temporal_block,dummy_prior,expanding_train_future_test_60_20,1,177,2,0.011299435028248588,2,0,,0.0,0.011299435028248588,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.03389830508474576,468.0,2008-09-20 06:08:00,2008-09-27 00:16:00,descriptive,
temporal_block,dummy_prior,expanding_train_future_test_60_20,2,136,9,0.0661764705882353,9,0,,0.0,0.0661764705882353,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.02711864406779661,468.0,2008-09-27 00:17:00,2008-10-02 19:25:00,descriptive,
missingness_quantile,dummy_prior,expanding_train_future_test_60_20,0,161,5,0.031055900621118012,5,0,,0.0,0.031055900621118012,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.020338983050847456,468.0,2008-09-20 11:18:00,2008-10-02 19:25:00,descriptive,
missingness_quantile,dummy_prior,expanding_train_future_test_60_20,1,50,4,0.08,4,0,,0.0,0.08,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.03389830508474576,468.0,2008-09-20 06:08:00,2008-10-02 17:19:00,descriptive,
missingness_quantile,dummy_prior,expanding_train_future_test_60_20,2,69,2,0.028985507246376812,2,0,,0.0,0.028985507246376812,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.04745762711864407,468.0,2008-09-20 07:21:00,2008-10-02 10:03:00,descriptive,
missingness_quantile,dummy_prior,expanding_train_future_test_60_20,3,33,0,0.0,0,0,,,,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.05423728813559322,468.0,2008-09-20 12:36:00,2008-10-02 08:57:00,descriptive,
threshold_sensitivity,dummy_prior,expanding_train_future_test_60_20,threshold=0.2,313,11,,11,0,,0.0,,,,0.08085106382978724,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,expanding_train_future_test_60_20,threshold=0.5,313,11,,11,0,,0.0,,,,0.08085106382978724,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,expanding_train_future_test_60_20,threshold=0.8,313,11,,11,0,,0.0,,,,0.08085106382978724,,,,,,descriptive,0.0
all,dummy_prior,expanding_train_future_test_70_15,all,235,17,0.07234042553191489,17,0,,0.0,0.07234042553191489,,0.07116788321167883,0.07116788321167883,0.07116788321167883,0.02711864406779661,468.0,2008-09-26 03:12:00,2008-10-05 18:59:00,descriptive,
temporal_block,dummy_prior,expanding_train_future_test_70_15,1,21,0,0.0,0,0,,,,,0.07116788321167883,0.07116788321167883,0.07116788321167883,0.02711864406779661,468.0,2008-09-26 03:12:00,2008-09-27 00:16:00,descriptive,
