reduced_formula_group,row_count,unique_material_id_count,unique_descriptor_vector_count,target_min,target_median,target_max,target_range,target_mean,target_std,target_mad,target_zero_count,mixed_zero_positive_status,theoretical_false_count,theoretical_true_count,polymorph_count,ambiguity_flag
MgFe2Si2BiO9,2,2,1,0.1003469776111138,0.16268551027778017,0.2250240429444465,0.1246770653333327,0.16268551027778017,0.06233853266666635,0.06233853266666635,0,not_mixed,0,2,2,True
Be3Fe4Si3SO12,2,2,1,0.0520337128260832,0.11335392706521305,0.1746741413043429,0.12264042847825969,0.11335392706521305,0.061320214239129846,0.061320214239129846,0,not_mixed,1,1,2,True
Fe2Si,3,3,1,0.0047925470833343,0.0686268420833338,0.1259579920833342,0.12116544499999989,0.0664591270833341,0.04948932886156986,0.057331150000000386,0,not_mixed,1,2,3,True
LiFe3SiPO8,2,2,1,0.0043996142857203,0.05471835000000655,0.1050370857142928,0.10063747142857249,0.05471835000000655,0.050318735714286245,0.050318735714286245,0,not_mixed,0,2,2,True
Sm2Fe15Si2,2,2,1,0.0366330115789477,0.0859560707894742,0.1352791300000007,0.09864611842105299,0.0859560707894742,0.04932305921052649,0.049323059210526495,0,not_mixed,1,1,2,True
Fe3Si,2,2,1,0.0,0.04880369875000045,0.0976073975000009,0.0976073975000009,0.04880369875000045,0.04880369875000045,0.04880369875000045,1,mixed_zero_positive,1,1,2,True
Fe(SiO3)2,4,4,1,0.0880802064814805,0.15014657856481364,0.1808245702314792,0.09274436374999868,0.14229948346064675,0.03401555642008123,0.0185242392361107,0,not_mixed,1,3,4,True
Er2FeSi4,2,2,1,0.0531319028571433,0.098487496428572,0.1438430900000007,0.09071118714285739,0.098487496428572,0.045355593571428696,0.045355593571428696,0,not_mixed,0,2,2,True
Ho2FeSi4,2,2,1,0.0620436068181833,0.1049087725324691,0.1477739382467549,0.08573033142857159,0.1049087725324691,0.042865165714285794,0.042865165714285794,0,not_mixed,0,2,2,True
Li3FeSiO5,3,3,1,0.0095211892500035,0.083139434750004,0.0948241672500032,0.0853029779999997,0.06249493041667024,0.037760616019815195,0.011684732499999198,0,not_mixed,0,3,3,True
LiFe(SiO3)2,13,13,1,0.0098701561666656,0.0361316684166652,0.0907387295416652,0.0808685733749996,0.03799943243589598,0.02370800689763988,0.0168972380000003,0,not_mixed,2,11,13,True
Li5Fe(SiO4)2,2,2,1,0.0142515129687508,0.0545728649218757,0.0948942168750006,0.08064270390624981,0.0545728649218757,0.040321351953124904,0.040321351953124904,0,not_mixed,0,2,2,True
Li2Fe(SiO3)2,6,6,1,0.01309756878788,0.0565861521969699,0.0930813206818186,0.0799837518939386,0.060019966224747756,0.026300639233544938,0.017404919090909597,0,not_mixed,0,6,6,True
Fe2SiS4,4,4,1,0.2089396735714297,0.2642157669642864,0.2846579953571444,0.07571832178571472,0.25550730071428673,0.029804709843903578,0.017143011071429015,0,not_mixed,1,3,4,True
LiFe(Si2O5)2,3,3,1,0.0157921242187519,0.0500254289062525,0.0914174401562517,0.0756253159374998,0.052411664427085364,0.03091997943759912,0.034233304687500604,0,not_mixed,0,3,3,True
Li2FeSiO4,20,20,1,0.0,0.0142671370312505,0.0725228915625004,0.0725228915625004,0.019312064713541934,0.018940642840229817,0.0086306343750002,1,mixed_zero_positive,3,17,20,True
Sc2Fe3Si,2,2,1,0.0,0.0362541941666654,0.0725083883333308,0.0725083883333308,0.0362541941666654,0.0362541941666654,0.0362541941666654,1,mixed_zero_positive,1,1,2,True
U(Fe5Si)2,2,2,1,0.0117896619230748,0.04760948961538245,0.0834293173076901,0.0716396553846153,0.04760948961538245,0.03581982769230765,0.035819827692307654,0,not_mixed,0,2,2,True
FeSi2,2,2,1,0.0,0.03516150104166725,0.0703230020833345,0.0703230020833345,0.03516150104166725,0.03516150104166725,0.03516150104166725,1,mixed_zero_positive,2,0,2,True
Lu(Fe5Si)2,2,2,1,0.0,0.03353230076923095,0.0670646015384619,0.0670646015384619,0.03353230076923095,0.03353230076923095,0.03353230076923095,1,mixed_zero_positive,0,2,2,True
FeSiW,3,3,1,0.0128575608333356,0.0595997233333349,0.0771234458333349,0.0642658849999993,0.049860243333335136,0.02712525387544579,0.017523722499999998,0,not_mixed,0,3,3,True
CeFeSi2,2,2,1,0.0,0.03111313250000065,0.0622262650000013,0.0622262650000013,0.03111313250000065,0.03111313250000065,0.03111313250000065,1,mixed_zero_positive,1,1,2,True
Li7Fe7SiO16,3,3,1,0.0656777165322619,0.0685594707258108,0.1227017536290366,0.0570240370967747,0.08564631362903642,0.026228551262612258,0.0028817541935488994,0,not_mixed,0,3,3,True
Mg5Al4Fe(SiO4)6,2,2,1,0.2183395414250064,0.24314941280000643,0.2679592841750065,0.049619742750000084,0.24314941280000643,0.024809871375000042,0.024809871375000042,0,not_mixed,0,2,2,True
Fe3(SiO4)2,2,2,1,0.0583160792307673,0.08199141980769115,0.105666760384615,0.047350681153847704,0.08199141980769115,0.023675340576923852,0.023675340576923852,0,not_mixed,1,1,2,True
Li2Fe2Si3O10,2,2,1,0.0538683718627428,0.0772879370098018,0.1007075021568608,0.04683913029411801,0.0772879370098018,0.023419565147059004,0.023419565147059004,0,not_mixed,0,2,2,True
Li2Fe2Si2O7,5,5,1,0.0453610758333331,0.0871414669871795,0.0913898131410251,0.046028737307692,0.07323930556410205,0.02050906739497592,0.004248346153845589,0,not_mixed,0,5,5,True
TbFeSi2,2,2,1,0.0,0.0212985925000004,0.0425971850000008,0.0425971850000008,0.0212985925000004,0.0212985925000004,0.0212985925000004,1,mixed_zero_positive,0,2,2,True
Li2Fe2SiO6,2,2,1,0.0599833468181856,0.08095680810606475,0.1019302693939439,0.04194692257575829,0.08095680810606475,0.020973461287879146,0.020973461287879146,0,not_mixed,0,2,2,True
Li2Fe(Si2O5)3,4,4,1,0.062059096046295,0.0948037380254618,0.1034272721921283,0.0413681761458333,0.08877346107233673,0.016052883325358955,0.006237263541666753,0,not_mixed,0,4,4,True
Li3Fe2(SiO4)2,17,17,1,0.0335362580000033,0.0592869813333374,0.0735170696666704,0.0399808116666671,0.054943892960788054,0.013361877367873042,0.014103542999999996,0,not_mixed,0,17,17,True
Mg14FeSi,2,2,1,0.1738652245312502,0.19298789515625026,0.2121105657812503,0.03824534125000009,0.19298789515625026,0.019122670625000046,0.019122670625000046,0,not_mixed,0,2,2,True
NbFeSi,3,3,1,0.0,0.0367236174999998,0.0372627493055546,0.0372627493055546,0.024662122268518133,0.017440142810318263,0.0005391318055548017,1,mixed_zero_positive,0,3,3,True
Nb4Fe3Si5,2,2,1,0.0284519879583342,0.045207873722223846,0.0619637594861135,0.033511771527779295,0.045207873722223846,0.016755885763889648,0.016755885763889648,0,not_mixed,0,2,2,True
Mn5Fe5Si6,2,2,1,0.0467782559375011,0.06329763406250105,0.079817012187501,0.03303875624999989,0.06329763406250105,0.016519378124999946,0.016519378124999946,0,not_mixed,0,2,2,True
CaFe(SiO3)2,2,2,1,0.0091201489999992,0.025519741312498498,0.0419193336249978,0.032799184624998604,0.025519741312498498,0.016399592312499302,0.016399592312499302,0,not_mixed,1,1,2,True
