schema_version,record_type,feature_set_id,split_strategy,model_variant,metric,median,mean,min,max,valid_split_count,status
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,dummy_median,r2,-0.034608371896942325,-0.04203843045356252,-0.07935681414129081,-0.023495290039547534,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,histogram_gradient_boosting_log1p,mae,0.08555949090233825,0.10393085833247787,0.06924778043982274,0.19817663662078486,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,histogram_gradient_boosting_log1p,rmse,0.30701076555867635,0.3857291643483517,0.16784370096438705,0.8099340129598763,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,histogram_gradient_boosting_log1p,r2,0.008993154279868354,0.014623018676569077,-0.03195609256062659,0.09275095915972964,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,histogram_gradient_boosting_log1p,spearman,0.46340639589269184,0.4712810724935477,0.35115279280995576,0.6334091711018013,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,histogram_gradient_boosting_raw,mae,0.10438033894889578,0.11664268631185763,0.08590780693233821,0.20378440356391414,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,histogram_gradient_boosting_raw,rmse,0.31372025023936745,0.3898070412894752,0.17886291261514292,0.8077145982410441,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,histogram_gradient_boosting_raw,r2,-0.009681689301683782,-0.03730231360736101,-0.14393275131719552,0.043530732974103925,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,histogram_gradient_boosting_raw,spearman,0.3721909184314711,0.3920994263945653,0.27315151555363165,0.5618392774512079,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,ridge_log1p,mae,0.10546017185461082,0.11934049857461926,0.08996923357798284,0.21238313071036094,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,ridge_log1p,rmse,0.30693345031754604,0.38482073200172084,0.17768536957113681,0.8132493096965725,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,ridge_log1p,r2,0.022004000697375015,0.01116282271994582,-0.10260645032682136,0.07554822728897803,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,ridge_log1p,spearman,0.3598879207574401,0.3771191678941362,0.2734291628009532,0.48562478717693225,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,ridge_raw,mae,0.1327197537496217,0.1434473022407512,0.11178268311402914,0.22166036236993356,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,ridge_raw,rmse,0.3137077882438208,0.39275785291099463,0.20995052333496858,0.8107666134381631,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,ridge_raw,r2,0.012001142947019316,-0.10094946987944835,-0.9672020044046017,0.06524942108127618,10,valid
2.2.1,feature_set_metric,matched_baseline,reduced_formula_group,ridge_raw,spearman,0.30254374518816873,0.32595533215920447,0.2613798574988005,0.4166108643571006,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,dummy_median,mae,0.07954035922240033,0.08596816870177103,0.06769364893768808,0.13686467801354993,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,dummy_median,rmse,0.12478799264849874,0.23245545850370003,0.1091130159075282,0.5717899954001286,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,dummy_median,r2,-0.03503872352751791,-0.039796134450968926,-0.09009421007687801,-0.010031871893445343,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,histogram_gradient_boosting_log1p,mae,0.07388529140932625,0.08684340605694824,0.06149876120316332,0.15464466992879666,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,histogram_gradient_boosting_log1p,rmse,0.11647088537342307,0.22771482011175367,0.10669871319431198,0.565761426195563,10,valid
