member_name,member_type,parsed_date,compressed_size,uncompressed_size,valid_daily_csv,inclusion_status,exclusion_reason,duplicate_date_status,schema_status,notes
2013/2013-08-01.csv,valid_daily_csv,2013-08-01,374665,3604460,True,included,,unique_date,compatible,
2013/2013-08-02.csv,valid_daily_csv,2013-08-02,375067,3604721,True,included,,unique_date,compatible,
2013/2013-08-03.csv,valid_daily_csv,2013-08-03,374943,3604963,True,included,,unique_date,compatible,
2013/2013-08-04.csv,valid_daily_csv,2013-08-04,374203,3604647,True,included,,unique_date,compatible,
2013/2013-08-05.csv,valid_daily_csv,2013-08-05,374450,3604958,True,included,,unique_date,compatible,
2013/2013-08-06.csv,valid_daily_csv,2013-08-06,374217,3605208,True,included,,unique_date,compatible,
2013/2013-08-07.csv,valid_daily_csv,2013-08-07,376296,3624165,True,included,,unique_date,compatible,
2013/2013-08-08.csv,valid_daily_csv,2013-08-08,375592,3624266,True,included,,unique_date,compatible,
2013/2013-08-09.csv,valid_daily_csv,2013-08-09,375892,3624289,True,included,,unique_date,compatible,
2013/2013-08-10.csv,valid_daily_csv,2013-08-10,375917,3624331,True,included,,unique_date,compatible,
2013/2013-08-11.csv,valid_daily_csv,2013-08-11,376469,3624675,True,included,,unique_date,compatible,
2013/2013-08-12.csv,valid_daily_csv,2013-08-12,376106,3624233,True,included,,unique_date,compatible,
2013/2013-08-13.csv,valid_daily_csv,2013-08-13,376141,3624856,True,included,,unique_date,compatible,
2013/2013-08-14.csv,valid_daily_csv,2013-08-14,376482,3625047,True,included,,unique_date,compatible,
2013/2013-08-15.csv,valid_daily_csv,2013-08-15,376015,3624856,True,included,,unique_date,compatible,
2013/2013-08-16.csv,valid_daily_csv,2013-08-16,376397,3624933,True,included,,unique_date,compatible,
2013/2013-08-17.csv,valid_daily_csv,2013-08-17,376316,3625089,True,included,,unique_date,compatible,
2013/2013-08-18.csv,valid_daily_csv,2013-08-18,376587,3624987,True,included,,unique_date,compatible,
2013/2013-08-19.csv,valid_daily_csv,2013-08-19,376383,3624913,True,included,,unique_date,compatible,
2013/2013-08-20.csv,valid_daily_csv,2013-08-20,4881,48789,True,included,,unique_date,compatible,
2013/2013-08-21.csv,valid_daily_csv,2013-08-21,4855,48769,True,included,,unique_date,compatible,
2013/2013-08-22.csv,valid_daily_csv,2013-08-22,12720,126937,True,included,,unique_date,compatible,
2013/2013-08-23.csv,valid_daily_csv,2013-08-23,12776,126978,True,included,,unique_date,compatible,
2013/2013-08-24.csv,valid_daily_csv,2013-08-24,12776,127004,True,included,,unique_date,compatible,
2013/2013-08-25.csv,valid_daily_csv,2013-08-25,12879,127080,True,included,,unique_date,compatible,
2013/2013-08-26.csv,valid_daily_csv,2013-08-26,12773,127337,True,included,,unique_date,compatible,
2013/2013-08-27.csv,valid_daily_csv,2013-08-27,12779,127340,True,included,,unique_date,compatible,
2013/2013-08-28.csv,valid_daily_csv,2013-08-28,12765,127335,True,included,,unique_date,compatible,
2013/2013-08-29.csv,valid_daily_csv,2013-08-29,12869,127382,True,included,,unique_date,compatible,
2013/2013-08-30.csv,valid_daily_csv,2013-08-30,12772,127371,True,included,,unique_date,compatible,
2013/2013-08-31.csv,valid_daily_csv,2013-08-31,12783,127405,True,included,,unique_date,compatible,
2013/2013-09-01.csv,valid_daily_csv,2013-09-01,12771,127412,True,included,,unique_date,compatible,
2013/2013-09-02.csv,valid_daily_csv,2013-09-02,12752,127402,True,included,,unique_date,compatible,
2013/2013-09-03.csv,valid_daily_csv,2013-09-03,12720,127395,True,included,,unique_date,compatible,
2013/2013-09-04.csv,valid_daily_csv,2013-09-04,12758,127400,True,included,,unique_date,compatible,
2013/2013-09-05.csv,valid_daily_csv,2013-09-05,10838,107650,True,included,,unique_date,compatible,
2013/2013-09-06.csv,valid_daily_csv,2013-09-06,10802,107680,True,included,,unique_date,compatible,
2013/2013-09-07.csv,valid_daily_csv,2013-09-07,10714,107658,True,included,,unique_date,compatible,
2013/2013-09-08.csv,valid_daily_csv,2013-09-08,10779,107667,True,included,,unique_date,compatible,
2013/2013-09-09.csv,valid_daily_csv,2013-09-09,10814,107661,True,included,,unique_date,compatible,
2013/2013-09-10.csv,valid_daily_csv,2013-09-10,10798,107704,True,included,,unique_date,compatible,
2013/2013-09-11.csv,valid_daily_csv,2013-09-11,10762,107661,True,included,,unique_date,compatible,
2013/2013-09-12.csv,valid_daily_csv,2013-09-12,10812,107650,True,included,,unique_date,compatible,
2013/2013-09-13.csv,valid_daily_csv,2013-09-13,10853,107688,True,included,,unique_date,compatible,
2013/2013-09-14.csv,valid_daily_csv,2013-09-14,13322,133851,True,included,,unique_date,compatible,
2013/2013-09-15.csv,valid_daily_csv,2013-09-15,13364,133863,True,included,,unique_date,compatible,
2013/2013-09-16.csv,valid_daily_csv,2013-09-16,13313,133840,True,included,,unique_date,compatible,
2013/2013-09-17.csv,valid_daily_csv,2013-09-17,13379,133843,True,included,,unique_date,compatible,
2013/2013-09-18.csv,valid_daily_csv,2013-09-18,13420,133868,True,included,,unique_date,compatible,
2013/2013-09-19.csv,valid_daily_csv,2013-09-19,13414,133871,True,included,,unique_date,compatible,
2013/2013-09-20.csv,valid_daily_csv,2013-09-20,13369,133866,True,included,,unique_date,compatible,
2013/2013-09-21.csv,valid_daily_csv,2013-09-21,13316,133855,True,included,,unique_date,compatible,
2013/2013-09-22.csv,valid_daily_csv,2013-09-22,13388,133914,True,included,,unique_date,compatible,
2013/2013-09-23.csv,valid_daily_csv,2013-09-23,13350,133971,True,included,,unique_date,compatible,
2013/2013-09-24.csv,valid_daily_csv,2013-09-24,13344,134022,True,included,,unique_date,compatible,
2013/2013-09-25.csv,valid_daily_csv,2013-09-25,13415,134073,True,included,,unique_date,compatible,
2013/2013-09-26.csv,valid_daily_csv,2013-09-26,13469,134046,True,included,,unique_date,compatible,
2013/2013-09-27.csv,valid_daily_csv,2013-09-27,13345,134076,True,included,,unique_date,compatible,
2013/2013-09-28.csv,valid_daily_csv,2013-09-28,13435,134075,True,included,,unique_date,compatible,
2013/2013-09-29.csv,valid_daily_csv,2013-09-29,13452,134061,True,included,,unique_date,compatible,
2013/2013-09-30.csv,valid_daily_csv,2013-09-30,13307,134048,True,included,,unique_date,compatible,
2013/2013-10-01.csv,valid_daily_csv,2013-10-01,13374,134046,True,included,,unique_date,compatible,
2013/2013-10-02.csv,valid_daily_csv,2013-10-02,13379,134026,True,included,,unique_date,compatible,
2013/2013-10-03.csv,valid_daily_csv,2013-10-03,13396,134064,True,included,,unique_date,compatible,
2013/2013-10-04.csv,valid_daily_csv,2013-10-04,13466,134062,True,included,,unique_date,compatible,
2013/2013-10-05.csv,valid_daily_csv,2013-10-05,13493,134051,True,included,,unique_date,compatible,
2013/2013-10-06.csv,valid_daily_csv,2013-10-06,13423,134061,True,included,,unique_date,compatible,
2013/2013-10-07.csv,valid_daily_csv,2013-10-07,13399,134059,True,included,,unique_date,compatible,
2013/2013-10-08.csv,valid_daily_csv,2013-10-08,13411,134065,True,included,,unique_date,compatible,
2013/2013-10-09.csv,valid_daily_csv,2013-10-09,13409,134018,True,included,,unique_date,compatible,
2013/2013-10-10.csv,valid_daily_csv,2013-10-10,13348,134047,True,included,,unique_date,compatible,
2013/2013-10-11.csv,valid_daily_csv,2013-10-11,13448,134057,True,included,,unique_date,compatible,
2013/2013-10-12.csv,valid_daily_csv,2013-10-12,13401,134044,True,included,,unique_date,compatible,
2013/2013-10-13.csv,valid_daily_csv,2013-10-13,13463,134050,True,included,,unique_date,compatible,
2013/2013-10-14.csv,valid_daily_csv,2013-10-14,13440,134066,True,included,,unique_date,compatible,
2013/2013-10-15.csv,valid_daily_csv,2013-10-15,400686,3803458,True,included,,unique_date,compatible,
2013/2013-10-16.csv,valid_daily_csv,2013-10-16,398817,3796729,True,included,,unique_date,compatible,
2013/2013-10-17.csv,valid_daily_csv,2013-10-17,398771,3796957,True,included,,unique_date,compatible,
2013/2013-10-18.csv,valid_daily_csv,2013-10-18,398675,3797428,True,included,,unique_date,compatible,
2013/2013-10-19.csv,valid_daily_csv,2013-10-19,399149,3797203,True,included,,unique_date,compatible,
2013/2013-10-20.csv,valid_daily_csv,2013-10-20,400098,3809981,True,included,,unique_date,compatible,
2013/2013-10-21.csv,valid_daily_csv,2013-10-21,400598,3810721,True,included,,unique_date,compatible,
2013/2013-10-22.csv,valid_daily_csv,2013-10-22,402342,3824034,True,included,,unique_date,compatible,
2013/2013-10-23.csv,valid_daily_csv,2013-10-23,402837,3836755,True,included,,unique_date,compatible,
2013/2013-10-24.csv,valid_daily_csv,2013-10-24,404567,3837242,True,included,,unique_date,compatible,
2013/2013-10-25.csv,valid_daily_csv,2013-10-25,405229,3837206,True,included,,unique_date,compatible,
2013/2013-10-26.csv,valid_daily_csv,2013-10-26,409373,3876446,True,included,,unique_date,compatible,
2013/2013-10-27.csv,valid_daily_csv,2013-10-27,408956,3869667,True,included,,unique_date,compatible,
2013/2013-10-28.csv,valid_daily_csv,2013-10-28,410967,3882844,True,included,,unique_date,compatible,
2013/2013-10-29.csv,valid_daily_csv,2013-10-29,411419,3883552,True,included,,unique_date,compatible,
2013/2013-10-30.csv,valid_daily_csv,2013-10-30,411487,3883408,True,included,,unique_date,compatible,
2013/2013-10-31.csv,valid_daily_csv,2013-10-31,411053,3889398,True,included,,unique_date,compatible,
