zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32,filename_stem,cell_id,source,chemistry,form_factor,temperature_C,soc_min_pct,soc_max_pct,soc_window,charge_c_rate,discharge_c_rate,protocol_label,metadata_parse_status,metadata_parse_message
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t_cycle_data.csv,cycle_data,114943,31620,509d3ad4,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
Michigan Expansion.zip,Michigan Expansion/MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C_cycle_data.csv,MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C_cycle_data.csv,cycle_data,23765,7938,07c8204a,MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C,MICH_01R,Michigan Expansion,NMC,pouch,25.0,0.0,100.0,0-100,0.2,0.2,NMC|pouch|25C|0-100|0.2-0.2C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_02C_pouch_NMC_-5C_0-100_0.2-0.2C_cycle_data.csv,MICH_02C_pouch_NMC_-5C_0-100_0.2-0.2C_cycle_data.csv,cycle_data,18174,5891,5880cde1,MICH_02C_pouch_NMC_-5C_0-100_0.2-0.2C,MICH_02C,Michigan Expansion,NMC,pouch,-5.0,0.0,100.0,0-100,0.2,0.2,NMC|pouch|-5C|0-100|0.2-0.2C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_03H_pouch_NMC_45C_0-100_0.2-0.2C_cycle_data.csv,MICH_03H_pouch_NMC_45C_0-100_0.2-0.2C_cycle_data.csv,cycle_data,6458,2234,08ea1be2,MICH_03H_pouch_NMC_45C_0-100_0.2-0.2C,MICH_03H,Michigan Expansion,NMC,pouch,45.0,0.0,100.0,0-100,0.2,0.2,NMC|pouch|45C|0-100|0.2-0.2C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_04R_pouch_NMC_25C_0-100_1.5-1.5C_cycle_data.csv,MICH_04R_pouch_NMC_25C_0-100_1.5-1.5C_cycle_data.csv,cycle_data,20885,6784,a1e1f36c,MICH_04R_pouch_NMC_25C_0-100_1.5-1.5C,MICH_04R,Michigan Expansion,NMC,pouch,25.0,0.0,100.0,0-100,1.5,1.5,NMC|pouch|25C|0-100|1.5-1.5C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C_cycle_data.csv,MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C_cycle_data.csv,cycle_data,36246,11647,e3a060e2,MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C,MICH_05C,Michigan Expansion,NMC,pouch,-5.0,0.0,100.0,0-100,1.5,1.5,NMC|pouch|-5C|0-100|1.5-1.5C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C_cycle_data.csv,MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C_cycle_data.csv,cycle_data,11229,3621,39f4f13c,MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C,MICH_06H,Michigan Expansion,NMC,pouch,45.0,0.0,100.0,0-100,1.5,1.5,NMC|pouch|45C|0-100|1.5-1.5C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_07R_pouch_NMC_25C_0-100_2-2C_cycle_data.csv,MICH_07R_pouch_NMC_25C_0-100_2-2C_cycle_data.csv,cycle_data,15821,5219,4e9a97d1,MICH_07R_pouch_NMC_25C_0-100_2-2C,MICH_07R,Michigan Expansion,NMC,pouch,25.0,0.0,100.0,0-100,2.0,2.0,NMC|pouch|25C|0-100|2-2C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_08C_pouch_NMC_-5C_0-100_2-2C_cycle_data.csv,MICH_08C_pouch_NMC_-5C_0-100_2-2C_cycle_data.csv,cycle_data,36744,11524,b13f336b,MICH_08C_pouch_NMC_-5C_0-100_2-2C,MICH_08C,Michigan Expansion,NMC,pouch,-5.0,0.0,100.0,0-100,2.0,2.0,NMC|pouch|-5C|0-100|2-2C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_09H_pouch_NMC_45C_0-100_2-2C_cycle_data.csv,MICH_09H_pouch_NMC_45C_0-100_2-2C_cycle_data.csv,cycle_data,11330,3791,0b046b81,MICH_09H_pouch_NMC_45C_0-100_2-2C,MICH_09H,Michigan Expansion,NMC,pouch,45.0,0.0,100.0,0-100,2.0,2.0,NMC|pouch|45C|0-100|2-2C,parsed,
