split_strategy,model_variant,stratum_type,stratum_value,row_count,coverage,mae,median_absolute_error,rmse,bias,spearman,negative_prediction_rate
reduced_formula_group,ridge_raw,domain_distance,out_of_domain,147,0.08818236352729454,0.11312760924565472,0.0775749571181388,0.16441661098647642,0.02050746251176665,0.47810068155900953,0.20408163265306123
chemical_system_group,dummy_median,descriptor_novelty,descriptor_novel,1612,1.0,0.09995682970229716,0.0431887368719914,0.40311971220666126,-0.06738680218171603,-0.17982295183616484,0.0
chemical_system_group,histogram_gradient_boosting_log1p,descriptor_novelty,descriptor_novel,1612,1.0,0.10041437779087106,0.04107978296418405,0.40220899209982675,-0.03896474754386455,0.26478342951259665,0.09739454094292804
chemical_system_group,histogram_gradient_boosting_raw,descriptor_novelty,descriptor_novel,1612,1.0,0.10800153113539608,0.04809942102949455,0.4038213294348376,-0.03352066076295153,0.21383871591000952,0.18362282878411912
chemical_system_group,ridge_log1p,descriptor_novelty,descriptor_novel,1612,1.0,0.1017264212235798,0.0451918712108721,0.39959938175698945,-0.041315423581042496,0.1726371234792476,0.04838709677419355
chemical_system_group,ridge_raw,descriptor_novelty,descriptor_novel,1612,1.0,0.10990357900602375,0.04977041789546435,0.4004819027109237,-0.024147355847525347,0.1381827765896437,0.08995037220843673
random,dummy_median,descriptor_novelty,descriptor_novel,931,0.5541666666666667,0.07165790727300501,0.0456995564409736,0.19084250582904855,-0.024025150166036704,-0.09405947688233433,0.0
random,dummy_median,descriptor_novelty,descriptor_seen,749,0.44583333333333336,0.13157544005883537,0.0335272906597246,0.529667838774633,-0.11230211314049388,-0.04320361191714078,0.0
random,histogram_gradient_boosting_log1p,descriptor_novelty,descriptor_novel,931,0.5541666666666667,0.06612007519903892,0.0339169847410783,0.18981252929239112,0.000521673943420026,0.5412862523147539,0.08055853920515575
random,histogram_gradient_boosting_log1p,descriptor_novelty,descriptor_seen,749,0.44583333333333336,0.13983779340377686,0.0270273934609826,0.5030490842377517,-0.03652207727046058,0.44264526917341157,0.009345794392523364
random,histogram_gradient_boosting_raw,descriptor_novelty,descriptor_novel,931,0.5541666666666667,0.07831242330356351,0.0407946324870028,0.20049897605528139,0.012103338197070546,0.44714917943691446,0.11278195488721804
